Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Rutgers,Georgetown,2,0,Big Ten,Big East,4,d1
Central Connecticut,St. John's,2,1,Northeast,Big East,4,d1
Quinnipiac,Stonehill,0,5,MAAC,Northeast,4,d1
South Carolina State,Charleston Southern,3,0,Indep.,Big South,4,d1
Brown,Saint Louis,1,1,Ivy,A10,4,d1
Canisius,St. Bonaventure,2,0,MAAC,A10,4,d1
Connecticut,Marist,0,5,Big East,MAAC,4,d1
Mount St. Mary's,Robert Morris,3,0,MAAC,Horizon,4,d1
North Florida,Florida State,4,0,Atlantic Sun,ACC,4,d1
VCU,Stanford,1,2,A10,Pac-12,4,d1
Penn State,Princeton,3,0,Big Ten,Ivy,4,d1
South Carolina,North Carolina,2,1,SEC,ACC,4,d1
UCLA,Long Beach State,4,0,Pac-12,Big West,4,d1
Virginia,Iowa,0,0,ACC,Big Ten,4,d1
Notre Dame,Michigan,0,1,ACC,Big Ten,4,d1
Clemson,Arkansas,0,1,ACC,SEC,4,d1
Xavier,Pittsburgh,1,2,Big East,ACC,4,d1
Duke,East Carolina,0,2,ACC,AAC,4,d1
California,Santa Clara,0,0,Pac-12,WCC,4,d1
Georgetown,James Madison,0,0,Big East,Sun Belt,4,d1
Southern Mississippi,Alabama,0,2,Sun Belt,SEC,4,d1
USC,Utah Valley,2,3,Pac-12,WAC,4,d1
Kansas State,Memphis,1,0,Big 12,AAC,4,d1
Texas,Stephen F. Austin,0,7,Big 12,WAC,4,d1
Purdue,TCU,1,2,Big Ten,Big 12,4,d1
Rutgers,Providence,0,1,Big Ten,Big East,4,d1
Nebraska,UC Davis,1,4,Big Ten,Big West,4,d1
Washington State,St. Mary's (CA),0,1,Pac-12,WCC,4,d1
American,Richmond,2,1,Patriot,A10,4,d1
Arizona,Texas Tech,1,1,Pac-12,Big 12,4,d1
Arizona State,Utah State,0,1,Pac-12,Mountain West,4,d1
Arkansas Pine Bluff,Little Rock,0,4,SWAC,OVC,4,d1
Arkansas State,Oklahoma State,1,0,Sun Belt,Big 12,4,d1
Army,Air Force,2,1,Patriot,Mountain West,4,d1
Baylor,SMU,2,1,Big 12,AAC,4,d1
Boise State,Eastern Washington,4,3,Mountain West,Big Sky,4,d1
Boise State,Eastern Washington,4,3,Mountain West,Big Sky,4,d1
Boston College,Dartmouth,1,1,ACC,Ivy,4,d1
Boston University,Maine,1,2,Patriot,Am East,4,d1
Bucknell,Colorado College,5,2,Patriot,Mountain West,4,d1
Butler,Cincinnati,2,2,Big East,Big 12,4,d1
CSU Bakersfield,Westmont,0,1,Big West,Golden State Athletic,4,d1
CSUN,Idaho,5,1,Big West,Big Sky,4,d1
Cal Poly,Gonzaga,4,1,Big West,WCC,4,d1
Cal State Fullerton,San Diego,1,0,Big West,WCC,4,d1
Central Arkansas,Oral Roberts,1,0,Atlantic Sun,Summit,4,d1
Charlotte,Florida,0,1,AAC,SEC,4,d1
Cleveland State,St. Francis (Pa.),1,4,Horizon,Northeast,4,d1
College of Charleston,Hampton University,1,11,CAA,CAA,4,d1
Dayton,IUPUI,0,1,A10,Horizon,4,d1
DePaul,UIC,0,1,Big East,MVC,4,d1
Denver,Colgate,0,6,Summit,Patriot,4,d1
Drake,St. Thomas (Minn.),1,1,MVC,Summit,4,d1
Drexel,William & Mary,1,2,CAA,CAA,4,d1
Duquesne,Fairleigh Dickinson,0,1,A10,Northeast,4,d1
Eastern Illinois,Illinois State,1,0,OVC,MVC,4,d1
Eastern Kentucky,Northern Kentucky,0,2,Atlantic Sun,Horizon,4,d1
Evansville,Western Kentucky,0,0,MVC,C-USA,4,d1
Fairfield,Central Connecticut,2,5,MAAC,Northeast,4,d1
Florida Atlantic,FGCU,1,0,AAC,Atlantic Sun,4,d1
Florida International,Miami (FL),1,0,C-USA,ACC,4,d1
Fordham,Columbia,0,2,A10,Ivy,4,d1
Gardner-Webb,VMI,1,0,Big South,Southern,4,d1
George Washington,Howard,1,2,A10,Northeast,4,d1
Georgia Southern,Georgia,1,0,Sun Belt,SEC,4,d1
Harvard,Syracuse,5,2,Ivy,ACC,4,d1
Holy Cross,Vermont,4,0,Patriot,Am East,4,d1
Houston,Houston Christian,1,5,Big 12,Southland,4,d1
Indiana,Louisville,0,2,Big Ten,ACC,4,d1
Indiana State,UT Martin,1,1,MVC,OVC,4,d1
Jacksonville,Mercer,1,3,Atlantic Sun,Southern,4,d1
Jacksonville State,Mississippi Valley,0,3,C-USA,SWAC,4,d1
Kennesaw State,Georgia State,0,0,Atlantic Sun,Sun Belt,4,d1
Kentucky,Belmont,3,0,SEC,MVC,4,d1
LSU,Pepperdine,2,2,SEC,WCC,4,d1
Lamar,Southern University,0,3,Southland,SWAC,4,d1
Lipscomb,Mississippi,1,2,Atlantic Sun,SEC,4,d1
Louisiana Tech,Nicholls,8,1,C-USA,Southland,4,d1
Louisiana-Monroe,Southeastern Louisiana,2,0,Sun Belt,Southland,4,d1
Loyola Marymount,Nevada,3,1,WCC,Mountain West,4,d1
