Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Texas,BYU,2,3,Big 12,Big 12,7,d1
Fordham,Yale,1,4,A10,Ivy,7,d1
Navy,Marymount (Va.),0,11,Patriot,Atlantic East Conference,7,d1
Lafayette,Princeton,1,1,Patriot,Ivy,7,d1
Cornell,Colgate,0,1,Ivy,Patriot,7,d1
Monmouth,Elon,1,0,CAA,CAA,7,d1
Gardner-Webb,Longwood,0,4,Big South,Big South,7,d1
High Point,Radford,1,1,Big South,Big South,7,d1
Penn,Iona University,0,3,Ivy,MAAC,7,d1
Saint Peter's,Siena College,1,2,MAAC,MAAC,7,d1
UNC Asheville,Presbyterian,1,4,Big South,Big South,7,d1
USC Upstate,Winthrop,4,0,Big South,Big South,7,d1
Michigan,Penn State,1,1,Big Ten,Big Ten,7,d1
Washington,UCLA,3,2,Pac-12,Pac-12,7,d1
Stanford,Arizona State,1,2,Pac-12,Pac-12,7,d1
BYU,Cincinnati,1,1,Big 12,Big 12,7,d1
Missouri,Arkansas,0,1,SEC,SEC,7,d1
Memphis,SMU,1,2,AAC,AAC,7,d1
Washington State,USC,2,1,Pac-12,Pac-12,7,d1
Georgetown,Connecticut,0,0,Big East,Big East,7,d1
Texas Tech,Oklahoma,0,2,Big 12,Big 12,7,d1
Ohio State,Indiana,2,1,Big Ten,Big Ten,7,d1
Oregon,Colorado,3,1,Pac-12,Pac-12,7,d1
Texas,West Virginia,0,0,Big 12,Big 12,7,d1
Michigan State,Maryland,5,0,Big Ten,Big Ten,7,d1
George Mason,Saint Louis,3,0,A10,A10,7,d1
Austin Peay,Central Arkansas,1,2,Atlantic Sun,Atlantic Sun,7,d1
Bellarmine,Jacksonville,4,2,Atlantic Sun,Atlantic Sun,7,d1
Belmont,Illinois State,1,1,MVC,MVC,7,d1
Binghamton,Albany,2,2,Am East,Am East,7,d1
Boise State,Wyoming,3,1,Mountain West,Mountain West,7,d1
Bowling Green,Akron,1,0,MAC,MAC,7,d1
Buffalo,Miami (OH),2,0,MAC,MAC,7,d1
Butler,Providence,1,1,Big East,Big East,7,d1
CSUN,CSU Bakersfield,0,4,Big West,Big West,7,d1
Cal Poly,Cal State Fullerton,1,2,Big West,Big West,7,d1
California,Arizona,0,2,Pac-12,Pac-12,7,d1
Central Connecticut,Howard,1,2,Northeast,Northeast,7,d1
Central Michigan,Western Michigan,3,1,MAC,MAC,7,d1
Creighton,Marquette,3,1,Big East,Big East,7,d1
Dayton,Fordham,0,0,A10,A10,7,d1
Delaware,Northeastern,1,1,CAA,CAA,7,d1
Delaware State,Le Moyne,0,0,Northeast,Northeast,7,d1
Drake,Indiana State,0,2,MVC,MVC,7,d1
Drexel,College of Charleston,0,1,CAA,CAA,7,d1
Duquesne,Massachusetts,1,1,A10,A10,7,d1
East Tennessee State,UT Chattanooga,0,1,Southern,Southern,7,d1
Eastern Illinois,Morehead State,1,1,OVC,OVC,7,d1
Eastern Kentucky,North Florida,3,0,Atlantic Sun,Atlantic Sun,7,d1
Eastern Washington,Montana,1,1,Big Sky,Big Sky,7,d1
FGCU,Kennesaw State,3,1,Atlantic Sun,Atlantic Sun,7,d1
Fairleigh Dickinson,Stonehill,0,3,Northeast,Northeast,7,d1
Florida Atlantic,UAB,1,1,AAC,AAC,7,d1
Furman,The Citadel,1,1,Southern,Southern,7,d1
George Washington,Saint Joseph's,1,3,A10,A10,7,d1
Hampton University,Elon,9,0,CAA,CAA,7,d1
Hofstra,William & Mary,0,1,CAA,CAA,7,d1
Iowa State,Houston,1,2,Big 12,Big 12,7,d1
Kansas,Baylor,0,0,Big 12,Big 12,7,d1
Kent State,Eastern Michigan,2,1,MAC,MAC,7,d1
La Salle,VCU,0,1,A10,A10,7,d1
Lindenwood,Southeast Missouri State,2,0,OVC,OVC,7,d1
Lipscomb,North Alabama,0,4,Atlantic Sun,Atlantic Sun,7,d1
Mercer,Wofford,1,3,Southern,Southern,7,d1
Minnesota,Wisconsin,1,3,Big Ten,Big Ten,7,d1
Nebraska,Rutgers,2,2,Big Ten,Big Ten,7,d1
Nevada,Fresno State,1,1,Mountain West,Mountain West,7,d1
