Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
UNC Greensboro,Duke,1,0,Southern,ACC,5,d1
East Tennessee State,Winthrop,1,0,Southern,Big South,5,d1
Howard,Virginia State,0,9,Northeast,Central Intercollegiate Athletic Association,5,d1
Army,Albany,3,0,Patriot,Am East,5,d1
Charleston Southern,The Citadel,1,2,Big South,Southern,5,d1
Columbia,NJIT,0,5,Ivy,Am East,5,d1
Cornell,Binghamton,2,2,Ivy,Am East,5,d1
Dartmouth,Iona University,0,4,Ivy,MAAC,5,d1
Drake,South Dakota,1,2,MVC,Summit,5,d1
Hartford,Merrimack,1,2,Commonwealth,Northeast,5,d1
Le Moyne,Canisius,2,0,Northeast,MAAC,5,d1
Mount St. Mary's,UMBC,2,1,MAAC,Am East,5,d1
Sacred Heart,Fairfield,3,3,Northeast,MAAC,5,d1
BYU,TCU,3,3,Big 12,Big 12,5,d1
Alabama,Georgia,1,1,SEC,SEC,5,d1
Princeton,Georgetown,3,2,Ivy,Big East,5,d1
Lamar,Xavier,1,0,Southland,Big East,5,d1
Memphis,North Texas,0,2,AAC,AAC,5,d1
Loyola-Chicago,Saint Louis,1,0,A10,A10,5,d1
USC,New Mexico State,0,3,Pac-12,C-USA,5,d1
Brown,Portland,0,0,Ivy,WCC,5,d1
Baylor,Texas,4,0,Big 12,Big 12,5,d1
Abilene Christian,Prairie View A&M,6,0,WAC,SWAC,5,d1
Alabama A&M,UT Martin,2,1,SWAC,OVC,5,d1
Alabama State,Jacksonville State,1,0,SWAC,C-USA,5,d1
Austin Peay,Bellarmine,1,2,Atlantic Sun,Atlantic Sun,5,d1
Belhaven,Mississippi Valley,2,1,Southern States,SWAC,5,d1
Boise State,Oregon,1,1,Mountain West,Pac-12,5,d1
Butler,Ball State,0,4,Big East,MAC,5,d1
Cal State Fullerton,UNLV,1,1,Big West,Mountain West,5,d1
Campbell,Northeastern,3,3,CAA,CAA,5,d1
Charlotte,UAB,0,0,AAC,AAC,5,d1
Cleveland State,Wisconsin-Milwaukee,1,2,Horizon,Horizon,5,d1
Colorado State,Utah Tech,3,2,Mountain West,WAC,5,d1
Davidson,Duquesne,1,1,A10,A10,5,d1
Detroit Mercy,Youngstown State,1,2,Horizon,Horizon,5,d1
East Carolina,Florida Atlantic,0,1,AAC,AAC,5,d1
East Tennessee State,USC Upstate,0,0,Southern,Big South,5,d1
Elon,Towson,2,1,CAA,CAA,5,d1
Fordham,George Mason,2,4,A10,A10,5,d1
Furman,South Carolina State,0,2,Southern,Indep.,5,d1
Gardner-Webb,Mercer,4,0,Big South,Southern,5,d1
Grambling State,Louisiana-Monroe,0,1,SWAC,Sun Belt,5,d1
Grand Canyon,Loyola Marymount,2,1,WAC,WCC,5,d1
Hampton University,UNC Wilmington,7,0,CAA,CAA,5,d1
Harvard,Samford,0,5,Ivy,Southern,5,d1
Hawaii,CSUN,1,2,Big West,Big West,5,d1
Hofstra,Drexel,2,3,CAA,CAA,5,d1
Howard,Delaware State,0,2,Northeast,Northeast,5,d1
Iowa State,Oklahoma State,1,4,Big 12,Big 12,5,d1
Jacksonville,Stetson,1,0,Atlantic Sun,Atlantic Sun,5,d1
Kansas State,Cincinnati,1,1,Big 12,Big 12,5,d1
Kennesaw State,North Alabama,0,2,Atlantic Sun,Atlantic Sun,5,d1
LIU,Stonehill,1,2,Northeast,Northeast,5,d1
Liberty,Appalachian State,0,2,C-USA,Sun Belt,5,d1
Lipscomb,Eastern Kentucky,0,1,Atlantic Sun,Atlantic Sun,5,d1
Long Beach State,UC Irvine,1,1,Big West,Big West,5,d1
Louisiana Tech,Little Rock,2,1,C-USA,OVC,5,d1
Marquette,Western Michigan,1,2,Big East,MAC,5,d1
Massachusetts,George Washington,2,0,A10,A10,5,d1
Montana,Miami (OH),0,4,Big Sky,MAC,5,d1
Morehead State,UNC Asheville,2,2,OVC,Big South,5,d1
NC State,High Point,2,2,ACC,Big South,5,d1
Nevada,Northern Colorado,2,0,Mountain West,Big Sky,5,d1
Niagara,Akron,0,1,MAAC,MAC,5,d1
North Dakota,Wyoming,2,1,Summit,Mountain West,5,d1
North Florida,FGCU,0,2,Atlantic Sun,Atlantic Sun,5,d1
Northern Illinois,DePaul,1,0,MAC,Big East,5,d1
Northern Kentucky,IUPUI,1,1,Horizon,Horizon,5,d1
Oklahoma,Kansas,2,2,Big 12,Big 12,5,d1
Oral Roberts,Tarleton State,0,4,Summit,WAC,5,d1
Pacific,Fresno State,0,3,WCC,Mountain West,5,d1
Penn,Villanova,1,1,Ivy,Big East,5,d1
Presbyterian,Western Carolina,0,4,Big South,Southern,5,d1
Purdue Fort Wayne,Robert Morris,0,2,Horizon,Horizon,5,d1
Queens (N.C.),Central Arkansas,1,0,Atlantic Sun,Atlantic Sun,5,d1
Rice,SMU,6,3,AAC,AAC,5,d1
Saint Joseph's,Rhode Island,0,0,A10,A10,5,d1
San Diego State,San Diego,0,4,Mountain West,WCC,5,d1
San Jose State,California Baptist,0,0,Mountain West,WAC,5,d1
Southeast Missouri State,Columbia College (MO),0,1,OVC,American Midwest,5,d1
Southern Utah,Idaho State,3,2,WAC,Big Sky,5,d1
St. Bonaventure,Dayton,0,0,A10,A10,5,d1
St. John's,Yale,2,2,Big East,Ivy,5,d1
St. Mary's (CA),Sacramento State,4,0,WCC,Big Sky,5,d1
Stony Brook,Delaware,2,2,CAA,CAA,5,d1
Temple,South Florida,1,2,AAC,AAC,5,d1
Texas A&M-Corpus Christi,UTRGV,1,1,Southland,WAC,5,d1
Texas Southern,Sul Ross State University,1,3,SWAC,American Southwest,5,d1
Texas Tech,Houston,0,3,Big 12,Big 12,5,d1
Tulsa,UTSA,0,0,AAC,AAC,5,d1
