Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Oklahoma,BYU,0,2,Big 12,Big 12,10,d1
Boston University,Yale,1,1,Patriot,Ivy,10,d1
Cornell,Albany,4,0,Ivy,Am East,10,d1
Holy Cross,Chicago State,0,3,Patriot,Indep.,10,d1
Navy,Delaware State,0,5,Patriot,Northeast,10,d1
Princeton,Bucknell,0,1,Ivy,Patriot,10,d1
Santa Clara,San Francisco,1,0,WCC,WCC,10,d1
Fairfield,Siena College,1,2,MAAC,MAAC,10,d1
Gardner-Webb,High Point,1,1,Big South,Big South,10,d1
Iona University,Marist,1,1,MAAC,MAAC,10,d1
Longwood,Radford,3,1,Big South,Big South,10,d1
Loyola Marymount,Pepperdine,3,0,WCC,WCC,10,d1
Mount St. Mary's,Quinnipiac,0,1,MAAC,MAAC,10,d1
Pacific,Gonzaga,2,5,WCC,WCC,10,d1
Presbyterian,Charleston Southern,1,1,Big South,Big South,10,d1
Rider,Canisius,0,1,MAAC,MAAC,10,d1
Saint Peter's,Manhattan,1,2,MAAC,MAAC,10,d1
San Diego,St. Mary's (CA),4,2,WCC,WCC,10,d1
UNC Asheville,Winthrop,0,4,Big South,Big South,10,d1
USC Upstate,South Carolina State,0,10,Big South,Indep.,10,d1
Florida State,Pittsburgh,3,2,ACC,ACC,10,d1
Arizona,UCLA,4,1,Pac-12,Pac-12,10,d1
Memphis,UAB,4,0,AAC,AAC,10,d1
Stanford,Oregon State,1,3,Pac-12,Pac-12,10,d1
Arizona State,USC,1,0,Pac-12,Pac-12,10,d1
North Carolina,Notre Dame,1,1,ACC,ACC,10,d1
Penn State,Indiana,2,0,Big Ten,Big Ten,10,d1
Clemson,Louisville,0,3,ACC,ACC,10,d1
LSU,Arkansas,1,1,SEC,SEC,10,d1
Saint Louis,Duquesne,0,4,A10,A10,10,d1
Nebraska,Purdue,0,2,Big Ten,Big Ten,10,d1
Washington State,Colorado,1,0,Pac-12,Pac-12,10,d1
Michigan State,Illinois,2,1,Big Ten,Big Ten,10,d1
Texas A&M,South Carolina,0,1,SEC,SEC,10,d1
Providence,Xavier,0,0,Big East,Big East,10,d1
Maryland,Wisconsin,0,3,Big Ten,Big Ten,10,d1
Coastal Carolina,South Alabama,0,1,Sun Belt,Sun Belt,10,d1
